Timestamp,pick any username,Any random Question,Choose hypothetical date a question was posted(from 2017 to 2019),Choose hypothetical time a question was posted,Any random answer,Choose hypothetical date a question was posted(from 2017 to 2019,Choose hypothetical time an answer was posted
8/14/2019 19:45:07,bruhgamer72,Is a frog a person?,6/21/2017,7:51:00 PM,It's a real kneeslapper.,10/5/2018,5:49:00 PM
8/14/2019 19:58:16,DioSado,How do you feel about the fast paced changes in society over the past two to three years?,7/17/2019,12:00:00 PM,"It's hard to grasp, so much is changed making it hard to adjust. Not to mention being belittled when you get it wrong. ",8/1/2019,5:23:00 AM
8/14/2019 20:10:04,Zethanos,What’s your favorite old school game?,5/29/2019,12:06:00 PM,Ape Escape. ,1/1/2019,9:39:00 PM
8/14/2019 20:51:10,Moonbeam,How can someone find happiness?,10/19/2017,12:12:00 AM,Could not answer,10/25/2017,12:15:00 AM
8/14/2019 21:28:26,Bearstorm,Why is Mac&Cheese so good?,3/13/2019,7:39:00 AM,Great Dane ,3/16/2019,10:59:00 PM
8/15/2019 1:34:42,fastduck,how often do you see ducks,11/23/2006,11:44:00 PM,alot,6/18/2009,1:25:00 AM
8/15/2019 2:06:51,YeetGang,"Besides earth, what’s your favorite planet/exo planet/ dwarf planet in the universe",7/14/2018,5:05:00 AM,Ceres,9/10/2017,3:01:00 AM
8/15/2019 2:53:39,Jac,Who inspired you as a kid the most?,4/4/2018,5:30:00 AM,Bill Bowerman,4/4/2018,11:00:00 AM
8/15/2019 5:25:46,Redhood312,Do aliens exist?,8/13/2019,8:30:00 AM,Possibly.,8/14/2019,7:00:00 AM
8/15/2019 7:14:14,Adam b,Why havent we been able to use time travel yet?,8/15/2019,10:12:00 AM,"Fainting penguins aren’t actually fainting, the name was given because as planes flew over they would look up and lose balance making them fall over.",8/5/2019,10:12:00 AM
8/16/2019 4:11:16,Dwayne Ronson ,Will San Andreas be the official end of California? ,7/6/2019,8:22:00 PM,"Many parts of California will be left in ruin. It will take many years for the Golden State to be rebuilt, however, the state’s physical and spiritual landscape will forever be altered by such devastation. ",7/6/2019,11:11:00 PM
8/16/2019 4:11:20,Dwayne Ronson ,Will San Andreas be the official end of California? ,7/6/2019,8:22:00 PM,"Many parts of California will be left in ruin. It will take many years for the Golden State to be rebuilt, however, the state’s physical and spiritual landscape will forever be altered by such devastation. ",7/6/2019,11:11:00 PM
8/16/2019 4:11:24,Dwayne Ronson ,Will San Andreas be the official end of California? ,7/6/2019,8:22:00 PM,"Many parts of California will be left in ruin. It will take many years for the Golden State to be rebuilt, however, the state’s physical and spiritual landscape will forever be altered by such devastation. ",7/6/2019,11:11:00 PM
8/16/2019 6:45:22,VroomVroom,Have you every traveled outside the US,2/18/2018,2:28:00 PM,Yes,2/19/2018,2:02:00 AM
8/17/2019 8:12:57,ZiggyCarrust,how much would could a woodchuck chuck if a woodchuck could chuck wood,4/20/2019,7:49:00 AM,forty-two,6/9/2017,4:59:00 PM
8/17/2019 8:13:54,Ikwillyou,Why Is Goku’s Hair turn Yellow,12/19/2018,3:34:00 PM,"Because In the manga it was just “no color”, because drawing in the black ink for Goku’s  Hair was annoying, but in the Anime, it was made Yellow.",8/15/2019,6:45:00 AM
8/17/2019 8:20:15,ricosuave,are dogs real?,1/9/2019,7:30:00 AM,yes,1/10/2019,4:30:00 AM
8/17/2019 8:24:43,twitistwitbackwards,"Hypothetically, how much nuclear material would I have to ingest to become the equivalent of a super mutant from Fallout? ",11/7/2018,4:20:00 AM,"Obligatory “not a nuclear scientist” here. However, I think you would probably die form ingesting any sort of nuclear/radioactive material. We can’t all become Strong from Fallout 4 unfortunately. ",11/10/2018,5:41:00 PM
8/17/2019 8:35:05,DootDoot,Can I legally own an octopus?,3/25/2017,3:50:00 PM,You need to add more fiber in your diet,5/4/2018,1:37:00 AM
8/17/2019 8:54:23,Excepteur,Mi tempus imperdiet nulla malesuada pellentesque elit eget gravida cum?,9/14/2018,1:47:00 PM,A cras semper auctor neque vitae tempus.,11/6/2018,2:13:00 PM
8/17/2019 8:54:29,Excepteur,Mi tempus imperdiet nulla malesuada pellentesque elit eget gravida cum?,9/14/2018,1:47:00 PM,A cras semper auctor neque vitae tempus.,11/6/2018,2:13:00 PM
8/17/2019 8:55:28,sem ,Elementum curabitur vitae nunc sed?,2/11/2019,5:33:00 AM,Et pharetra pharetra massa massa ultricies mi quis.,7/1/2017,9:48:00 AM
8/17/2019 8:56:21,rhoncus , Est pellentesque elit ullamcorper dignissim cras tincidunt lobortis feugiat vivamus?,3/27/2018,11:11:00 AM,Posuere lorem ipsum dolor sit amet.,4/17/2019,7:39:00 PM
